KeypointIndex,FrameIndex,X,Y,Variance
2,0,249.667,376.006,4.44738
2,1,248.419,376.096,4.44738
2,2,245.128,374.176,4.44738
6,0,494.557,49.4651,83656.1
6,1,1145.65,298.134,83656.1
6,2,879.622,266.482,83656.1
10,0,255.365,358.522,1.25728
10,1,253.899,360.214,1.25728
10,2,253.433,360.38,1.25728
10,3,253.392,360.392,1.25728
12,0,1557.92,95.2459,485979
12,1,1557.84,95.2036,485979
12,2,1558.16,94.7844,485979
12,3,252.472,1037.18,485979
13,0,248.906,375.793,15.9934
13,1,256.551,380.014,15.9934
13,2,256.859,380.008,15.9934
13,3,257.367,380.774,15.9934
14,0,252.928,959.318,0.0327764
14,1,253.107,959.129,0.0327764
14,2,252.885,959.155,0.0327764
14,3,252.97,959.531,0.0327764
15,0,256.689,979.332,0.372469
15,1,257.827,979.776,0.372469
23,0,284.798,663.298,0.641849
23,1,283.638,664.316,0.641849
23,2,284.065,664.256,0.641849
23,3,283.607,665.107,0.641849
26,0,288.084,998.296,0.248174
26,1,288.785,997.887,0.248174
26,2,289.129,998.08,0.248174
26,3,288.991,997.496,0.248174
27,0,289.303,1034,0.0911712
27,1,289.259,1033.99,0.0911712
27,2,289.203,1034.53,0.0911712
27,3,289.164,1034.64,0.0911712
33,0,1456.21,84.1716,365656
33,1,723.735,1046.51,365656
37,0,319.058,806.421,0.0503507
37,1,318.613,806.481,0.0503507
39,0,313.474,332.711,374928
39,1,1558.54,134.561,374928
39,2,1197.92,886.696,374928
41,0,307.602,1035.05,0.00806295
41,1,307.55,1034.98,0.00806295
41,2,307.462,1035.04,0.00806295
41,3,307.694,1034.98,0.00806295
49,0,313.493,738.515,0.762974
49,1,314.448,738.668,0.762974
49,2,315.901,738.627,0.762974
49,3,314.976,738.572,0.762974
50,0,313.493,738.515,0.762974
50,1,314.448,738.668,0.762974
50,2,315.901,738.627,0.762974
50,3,314.976,738.572,0.762974
54,0,423.255,755.707,26131.2
54,1,318.766,449.754,26131.2
55,0,318.627,867.105,1.24534
55,1,320.649,868.94,1.24534
55,2,318.682,867.723,1.24534
55,3,318.517,867.556,1.24534
58,0,322.988,491.334,0.874473
58,1,324.582,490.406,0.874473
58,2,322.7,491.322,0.874473
60,0,631.709,644.893,26424.8
60,1,956.822,643.969,26424.8
64,0,432.648,665.363,1858.96
64,1,421.868,756.232,1858.96
64,2,422.378,756.202,1858.96
70,0,322.042,429.992,28483.1
70,1,499.798,797.918,28483.1
70,2,423.234,666.843,28483.1
72,0,330.64,939.696,0.0154333
72,1,330.607,939.833,0.0154333
72,2,330.83,939.872,0.0154333
73,0,330.64,939.696,0.0154333
73,1,330.607,939.833,0.0154333
73,2,330.83,939.872,0.0154333
77,0,336.244,897.572,0.331451
77,1,335.111,897.368,0.331451
78,0,847.758,658.882,53383.4
78,1,507.031,971.034,53383.4
86,0,676.733,801.621,0.0186661
86,1,677.005,801.595,0.0186661
92,0,349.592,276.959,0.716225
92,1,349.705,275.27,0.716225
95,0,243.806,541.929,238182
95,1,1083.76,1039.13,238182
99,0,350.832,367.481,0.111668
99,1,350.804,367.625,0.111668
99,2,350.438,367.477,0.111668
99,3,350.441,366.907,0.111668
100,0,350.832,367.481,0.0369337
100,1,350.804,367.625,0.0369337
100,2,350.438,367.477,0.0369337
104,0,347.911,845.846,0.222226
104,1,346.98,845.997,0.222226
110,0,511.868,802.971,0.457803
110,1,511.899,804.345,0.457803
110,2,511.05,803.773,0.457803
110,3,510.976,804.091,0.457803
112,0,359.462,269.213,118712
112,1,1051.71,502.932,118712
112,2,359.056,268.839,118712
116,0,369.802,105.924,0.12404
116,1,369.973,105.553,0.12404
116,2,369.347,106.113,0.12404
124,0,488.654,94.237,2251.82
124,1,379.651,104.147,2251.82
124,2,379.648,103.647,2251.82
124,3,379.199,104.091,2251.82
125,0,381.451,93.9524,446340
125,1,1327.14,1037.35,446340
125,2,1327.19,1037.17,446340
125,3,380.39,93.7974,446340
130,0,390.064,107.39,0.408149
130,1,388.932,107.983,0.408149
136,0,1093.88,636.026,0.0426739
136,1,1093.79,636.23,0.0426739
136,2,1093.53,636.376,0.0426739
138,0,500.167,647.609,37562.3
138,1,361.428,312.815,37562.3
138,2,493.306,738.324,37562.3
143,0,399.314,92.1331,0.0319554
143,1,399.35,91.7773,0.0319554
150,0,405.553,206.313,0.077069
150,1,405.108,206.181,0.077069
150,2,404.953,206.278,0.077069
150,3,404.831,206.242,0.077069
153,0,800.981,826.701,0.0505339
153,1,801.276,826.362,0.0505339
154,0,717.565,775.462,45778.9
154,1,1076.77,1008.02,45778.9
155,0,341.897,960.927,0.99289
155,1,343.864,961.248,0.99289
157,0,402.439,913.21,0.134644
157,1,403.129,913.462,0.134644
158,0,1127.98,491.373,163299
158,1,402.455,947.741,163299
158,2,402.094,947.564,163299
160,0,409.408,384.485,0.0484498
160,1,409.36,384.576,0.0484498
160,2,409.329,384.895,0.0484498
160,3,409.352,385.013,0.0484498
161,0,415.999,74.5224,4.34829
161,1,419.999,73.3432,4.34829
163,0,420.912,91.2518,0.00141375
163,1,420.84,91.2329,0.00141375
171,0,460.614,812.694,0.000558913
171,1,460.653,812.667,0.000558913
172,0,421.595,289.5,0.28622
172,1,421.547,288.332,0.28622
172,2,421.486,288.334,0.28622
172,3,421.402,288.184,0.28622
176,0,500.992,765.923,0.119626
176,1,501.684,765.929,0.119626
177,0,424.759,386.366,0.236988
177,1,424.242,385.546,0.236988
177,2,423.988,385.737,0.236988
177,3,423.754,385.711,0.236988
178,0,424.759,386.366,0.236988
178,1,424.242,385.546,0.236988
178,2,423.988,385.737,0.236988
178,3,423.754,385.711,0.236988
180,0,966.129,983.287,36562
180,1,629.995,756.205,36562
180,2,630.238,755.95,36562
183,0,399.935,706.073,0.758932
183,1,401.677,706.087,0.758932
186,0,713.31,718.727,36.9424
186,1,701.726,722.412,36.9424
187,0,693.272,798.048,0.00176385
187,1,693.356,798.057,0.00176385
188,0,919.629,1026.1,0.172327
188,1,919.406,1026.56,0.172327
188,2,920.088,1025.98,0.172327
188,3,920.252,1026.44,0.172327
193,0,541.147,129.449,15914.9
193,1,432.109,356.981,15914.9
195,0,488.279,802.085,98297.2
195,1,1081.7,1004.66,98297.2
200,0,425.255,755.691,31574.4
200,1,327.785,413.935,31574.4
205,0,395.905,678.538,457.314
205,1,438.226,672.353,457.314
211,0,667.227,807.904,0.00648552
211,1,667.102,808.005,0.00648552
212,0,444.5,370.016,3.22958
212,1,447.612,371.829,3.22958
212,2,447.825,372.217,3.22958
219,0,446.923,391.777,0.882641
219,1,446.873,390.565,0.882641
219,2,446.57,389.719,0.882641
219,3,446.619,389.373,0.882641
225,0,277.153,989.982,2540.12
225,1,359.138,931.341,2540.12
227,0,483.253,810.165,0.863459
227,1,484.711,809.013,0.863459
229,0,400.719,705.86,138333
229,1,1082.04,1004.41,138333
232,0,644.173,631.959,0.164205
232,1,644.653,631.307,0.164205
236,0,451.748,862.039,0.553922
236,1,450.32,861.965,0.553922
236,2,450.329,862.501,0.553922
236,3,449.838,862.232,0.553922
237,0,455.258,391.657,0.0302396
237,1,455.09,391.962,0.0302396
238,0,754.742,871.794,55767.9
238,1,453.774,472.881,55767.9
238,2,454.076,469.566,55767.9
239,0,455.891,368.77,0.0435741
239,1,455.739,369.073,0.0435741
239,2,456.036,369.135,0.0435741
239,3,455.811,369.249,0.0435741
242,0,458.335,1030.78,0.0694724
242,1,457.908,1031.09,0.0694724
248,0,456.075,491.856,0.597638
248,1,455.851,489.995,0.597638
248,2,456.051,490.116,0.597638
248,3,456.08,490.16,0.597638
249,0,467.336,145.817,0.291581
249,1,467.147,145.65,0.291581
249,2,466.591,145.827,0.291581
249,3,465.999,146.043,0.291581
250,0,457.216,910.48,0.0129603
250,1,457.341,910.529,0.0129603
250,2,457.467,910.442,0.0129603
250,3,457.487,910.459,0.0129603
251,0,457.216,910.48,0.0129603
251,1,457.341,910.529,0.0129603
251,2,457.467,910.442,0.0129603
251,3,457.487,910.459,0.0129603
253,0,468.908,231.043,0.400862
253,1,467.785,231.588,0.400862
253,2,467.475,231.413,0.400862
253,3,467.417,231.265,0.400862
256,0,470.12,389.808,0.16488
256,1,469.423,389.42,0.16488
256,2,469.329,389.353,0.16488
266,0,617.084,655.532,0.299477
266,1,616.578,655.868,0.299477
266,2,617.529,654.935,0.299477
273,0,712.162,718.944,10395
273,1,497.937,742.32,10395
273,2,713.76,719.2,10395
277,0,473.49,868.272,0.784496
277,1,472.072,869.352,0.784496
277,2,471.665,869.796,0.784496
277,3,472.204,869.375,0.784496
278,0,479.044,396.856,0.28931
278,1,478.486,396.431,0.28931
278,2,478.06,395.984,0.28931
280,0,478.843,873.609,0.131817
280,1,478.574,873.675,0.131817
280,2,478.307,874.224,0.131817
280,3,478.393,874.254,0.131817
281,0,479.184,901.217,0.0350775
281,1,479.045,901.363,0.0350775
281,2,479.137,901.491,0.0350775
281,3,479.028,901.696,0.0350775
282,0,482.721,423.491,0.107512
282,1,481.882,423.508,0.107512
282,2,482.541,423.324,0.107512
282,3,482.502,423.543,0.107512
285,0,676.885,806.058,0.0363459
285,1,676.796,806.429,0.0363459
290,0,487.991,402.555,0.0959382
290,1,487.858,402.768,0.0959382
290,2,487.614,402.644,0.0959382
290,3,487.203,402.697,0.0959382
292,0,486.904,986.1,0.757388
292,1,486.204,986.71,0.757388
292,2,485.357,987.905,0.757388
292,3,485.929,987.279,0.757388
293,0,486.35,1022.51,0.0195252
293,1,486.61,1022.44,0.0195252
293,2,486.681,1022.35,0.0195252
293,3,486.517,1022.36,0.0195252
296,0,740.819,901.288,0.0392401
296,1,741.036,901.62,0.0392401
302,0,1068.73,960.855,40347.8
302,1,709.738,780.53,40347.8
305,0,496.409,439.317,0.303917
305,1,495.634,440.384,0.303917
305,2,495.702,439.877,0.303917
305,3,495.364,440.118,0.303917
306,0,496.409,439.317,0.303917
306,1,495.634,440.384,0.303917
306,2,495.702,439.877,0.303917
306,3,495.364,440.118,0.303917
308,0,498.18,472.46,0.0731915
308,1,497.675,472.822,0.0731915
